Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,Opp TDs,YPG
1,Alabama (SEC),14,13-1,913,"3,646",3.99,17,18,260.4
2,Wisconsin (Big Ten),14,13-1,831,"3,669",4.42,18,21,262.1
3,Michigan (Big Ten),13,8-5,779,"3,523",4.52,27,30,271
4,Clemson (ACC),14,12-2,908,"3,874",4.27,21,22,276.7
5,UTSA (C-USA),11,6-5,636,"3,166",4.98,23,24,287.8
6,Georgia (SEC),15,13-2,943,"4,424",4.69,27,28,294.9
7,Michigan St. (Big Ten),13,10-3,794,"3,869",4.87,27,31,297.6
8,Washington (Pac-12),13,10-3,876,"3,874",4.42,21,24,298
9,Ohio St. (Big Ten),14,12-2,948,"4,213",4.44,29,35,300.9
10,Mississippi St. (SEC),13,9-4,761,"3,982",5.23,31,34,306.3
11,San Diego St. (Mountain West),13,10-3,804,"4,088",5.08,31,34,314.5
12,LSU (SEC),13,9-4,811,"4,108",5.07,27,27,316
13,Virginia Tech (ACC),13,9-4,820,"4,151",5.06,23,24,319.3
14,Auburn (SEC),14,10-4,957,"4,471",4.67,27,31,319.4
15,Fresno St. (Mountain West),14,10-4,924,"4,488",4.86,27,30,320.6
16,Washington St. (Pac-12),13,9-4,820,"4,203",5.13,37,41,323.3
17,Penn St. (Big Ten),13,11-2,898,"4,283",4.77,27,27,329.5
18,Florida St. (ACC),13,7-6,906,"4,304",4.75,34,34,331.1
19,TCU (Big 12),14,11-3,916,"4,640",5.07,31,32,331.4
20,Southern Miss. (C-USA),13,8-5,855,"4,315",5.05,37,40,331.9
21,Duke (ACC),13,7-6,828,"4,324",5.22,32,34,332.6
22,Boise St. (Mountain West),14,11-3,965,"4,657",4.83,37,42,332.6
23,Wyoming (Mountain West),13,8-5,933,"4,358",4.67,27,27,335.2
24,Troy (Sun Belt),13,11-2,916,"4,381",4.78,27,30,337
25,Utah (Pac-12),13,7-6,868,"4,399",5.07,31,33,338.4
26,NIU (MAC),13,8-5,953,"4,401",4.62,30,33,338.5
27,Indiana (Big Ten),12,5-7,829,"4,081",4.92,36,39,340.1
28,Marshall (C-USA),13,8-5,897,"4,442",4.95,31,32,341.7
29,App State (Sun Belt),13,9-4,839,"4,453",5.31,28,30,342.5
30,Minnesota (Big Ten),12,5-7,754,"4,160",5.52,35,36,346.7
31,Florida (SEC),11,4-7,670,"3,842",5.73,32,36,349.3
32,Army West Point (FBS Independent),13,10-3,727,"4,546",6.25,37,39,349.7
33,Georgia Tech (ACC),11,5-6,706,"3,897",5.52,32,35,354.3
34,Northwestern (Big Ten),13,10-3,926,"4,644",5.02,31,33,357.2
35,Middle Tenn. (C-USA),13,7-6,939,"4,645",4.95,37,39,357.3
36,Iowa (Big Ten),13,8-5,914,"4,647",5.08,29,30,357.5
37,South Fla. (AAC),12,10-2,892,"4,317",4.84,34,37,359.8
38,Miami (FL) (ACC),13,10-3,989,"4,717",4.77,29,30,362.8
39,Eastern Mich. (MAC),12,5-7,817,"4,363",5.34,33,35,363.6
40,Virginia (ACC),13,6-7,879,"4,746",5.40,43,49,365.1
41,UAB (C-USA),13,8-5,882,"4,753",5.39,37,39,365.6
41,Texas (Big 12),13,7-6,916,"4,753",5.19,31,33,365.6
43,Iowa St. (Big 12),13,8-5,882,"4,760",5.40,33,34,366.2
44,South Carolina (SEC),13,9-4,924,"4,772",5.16,29,30,367.1
45,Miami (OH) (MAC),12,5-7,814,"4,411",5.42,32,37,367.6
46,Oregon (Pac-12),13,7-6,946,"4,799",5.07,44,47,369.2
46,Notre Dame (FBS Independent),13,10-3,951,"4,799",5.05,32,34,369.2
48,Navy (AAC),13,7-6,780,"4,814",6.17,41,43,370.3
49,Central Mich. (MAC),13,8-5,959,"4,820",5.03,40,44,370.8
50,Ohio (MAC),13,9-4,912,"4,831",5.30,36,38,371.6
51,BYU (FBS Independent),13,4-9,906,"4,847",5.35,34,37,372.8
52,Purdue (Big Ten),13,7-6,926,"4,881",5.27,31,32,375.5
53,Western Ky. (C-USA),13,6-7,888,"4,903",5.52,38,42,377.2
54,Arkansas St. (Sun Belt),12,7-5,857,"4,530",5.29,35,40,377.5
55,Western Mich. (MAC),12,6-6,806,"4,542",5.64,45,47,378.5
56,Temple (AAC),13,7-6,919,"4,959",5.40,39,40,381.5
57,Boston College (ACC),13,7-6,926,"4,977",5.37,36,37,382.8
58,NC State (ACC),13,9-4,898,"4,995",5.56,37,40,384.2
59,Toledo (MAC),14,11-3,958,"5,390",5.63,47,48,385
60,Louisiana Tech (C-USA),13,7-6,897,"5,012",5.59,38,41,385.5
61,Georgia St. (Sun Belt),12,7-5,802,"4,654",5.80,37,38,387.8
62,Louisville (ACC),13,8-5,899,"5,045",5.61,42,47,388.1
63,Fla. Atlantic (C-USA),14,11-3,"1,051","5,454",5.19,40,40,389.6
64,Idaho (Sun Belt),12,4-8,835,"4,685",5.61,35,36,390.4
65,Vanderbilt (SEC),12,5-7,807,"4,717",5.85,46,48,393.1
66,Air Force (Mountain West),12,5-7,694,"4,727",6.81,47,49,393.9
67,Oklahoma (Big 12),14,12-2,947,"5,529",5.84,47,47,394.9
68,Southern California (Pac-12),14,11-3,985,"5,539",5.62,42,46,395.6
69,Pittsburgh (ACC),12,5-7,798,"4,759",5.96,38,41,396.6
70,New Mexico (Mountain West),12,3-9,779,"4,776",6.13,48,50,398
71,Buffalo (MAC),12,6-6,870,"4,778",5.49,39,39,398.2
72,Rutgers (Big Ten),12,4-8,836,"4,783",5.72,40,41,398.6
73,Utah St. (Mountain West),13,6-7,"1,002","5,185",5.17,37,43,398.8
74,New Mexico St. (Independent),13,7-6,972,"5,211",5.36,46,50,400.8
75,Massachusetts (FBS Independent),12,4-8,844,"4,859",5.76,44,47,404.9
76,Stanford (Pac-12),14,9-5,949,"5,672",5.98,38,39,405.1
77,Kent St. (MAC),12,2-10,789,"4,900",6.21,50,56,408.3
78,Texas A&M (SEC),13,7-6,943,"5,310",5.63,47,51,408.5
79,Oklahoma St. (Big 12),13,10-3,966,"5,321",5.51,42,48,409.3
80,Ga. Southern (Sun Belt),12,2-10,746,"4,925",6.60,49,52,410.4
81,Tennessee (SEC),12,4-8,834,"4,955",5.94,44,45,412.9
82,Missouri (SEC),13,7-6,962,"5,383",5.60,47,50,414.1
83,FIU (C-USA),13,8-5,896,"5,394",6.02,47,47,414.9
84,South Alabama (Sun Belt),12,4-8,852,"5,013",5.88,36,38,417.8
85,Illinois (Big Ten),12,2-10,887,"5,021",5.66,47,50,418.4
86,Maryland (Big Ten),12,4-8,896,"5,033",5.62,52,59,419.4
87,Ball St. (MAC),12,2-10,764,"5,059",6.62,56,65,421.6
88,Houston (AAC),12,7-5,944,"5,066",5.37,29,32,422.2
89,Rice (C-USA),12,1-11,795,"5,110",6.43,50,55,425.8
90,Kansas St. (Big 12),13,8-5,953,"5,548",5.82,40,40,426.8
91,Kentucky (SEC),13,7-6,893,"5,550",6.22,44,46,426.9
92,Old Dominion (C-USA),12,5-7,885,"5,132",5.80,49,51,427.7
93,UCF (AAC),13,13-0,969,"5,563",5.74,40,43,427.9
94,Cincinnati (AAC),12,4-8,879,"5,142",5.85,42,46,428.5
95,California (Pac-12),12,5-7,888,"5,159",5.81,39,40,429.9
96,North Texas (C-USA),14,9-5,"1,013","6,040",5.96,59,63,431.4
97,Colorado St. (Mountain West),13,7-6,892,"5,611",6.29,43,46,431.6
98,Tulane (AAC),12,5-7,783,"5,233",6.68,45,47,436.1
98,North Carolina (ACC),12,3-9,895,"5,233",5.85,43,48,436.1
100,Nebraska (Big Ten),12,4-8,826,"5,234",6.34,52,58,436.2
101,Arkansas (SEC),12,4-8,815,"5,259",6.45,51,56,438.3
102,Texas St. (Sun Belt),12,2-10,852,"5,267",6.18,42,48,438.9
103,Akron (MAC),14,7-7,"1,030","6,200",6.02,48,49,442.9
104,Texas Tech (Big 12),13,6-7,998,"5,769",5.78,49,52,443.8
105,Syracuse (ACC),12,4-8,832,"5,328",6.40,47,49,444
106,West Virginia (Big 12),13,7-6,944,"5,792",6.14,50,50,445.5
107,UTEP (C-USA),12,0-12,859,"5,359",6.24,56,60,446.6
108,Arizona St. (Pac-12),13,7-6,924,"5,846",6.33,51,54,449.7
109,Colorado (Pac-12),12,5-7,884,"5,407",6.12,40,42,450.6
110,Charlotte (C-USA),12,1-11,886,"5,455",6.16,44,51,454.6
111,Baylor (Big 12),12,1-11,849,"5,483",6.46,47,52,456.9
112,Wake Forest (ACC),13,8-5,"1,069","5,945",5.56,44,45,457.3
113,UNLV (Mountain West),12,5-7,878,"5,504",6.27,48,49,458.7
114,Hawaii (Mountain West),12,3-9,814,"5,505",6.76,52,55,458.8
115,Ole Miss (SEC),12,6-6,895,"5,514",6.16,47,51,459.5
116,Memphis (AAC),13,10-3,"1,054","6,061",5.75,56,56,466.2
117,Kansas (Big 12),12,1-11,873,"5,620",6.44,62,68,468.3
118,Arizona (Pac-12),13,7-6,"1,015","6,125",6.03,57,59,471.2
119,Nevada (Mountain West),12,3-9,924,"5,656",6.12,48,51,471.3
120,Oregon St. (Pac-12),12,1-11,859,"5,677",6.61,64,67,473.1
121,SMU (AAC),13,7-6,940,"6,197",6.59,59,62,476.7
122,UCLA (Pac-12),13,6-7,"1,004","6,288",6.26,54,58,483.7
123,Louisiana (Sun Belt),12,5-7,899,"5,912",6.58,60,64,492.7
124,San Jose St. (Mountain West),13,2-11,"1,045","6,491",6.21,65,70,499.3
125,Bowling Green (MAC),12,2-10,920,"6,079",6.61,57,61,506.6
126,UConn (AAC),12,3-9,920,"6,228",6.77,60,61,519
127,Tulsa (AAC),12,2-10,868,"6,347",7.31,56,58,528.9
128,ULM (Sun Belt),12,4-8,880,"6,385",7.26,64,67,532.1
129,East Carolina (AAC),12,3-9,842,"6,500",7.72,67,73,541.7